【快递/小包.xlsx】,,,,,,,,,,,,,,,,,
工作号,发货仓库,公司名,货量,创建时间,取件日期(E),派送日期(E),包装件数,重量,体积,材积,货物品名,业务员,签收方式,签出/出仓时间,销售额,货值,CTN/MAWB#
KD23102376860,,nagog-Jessica,SP-320-2 X 1; 20KGS 0.0379CBM,2023-10-09 22:25:47,2023-10-09 23:00:00,2023-10-17 23:00:00,1.00,20.00,0.0379,20.00,,客服2 ,,2023-10-09 22:27:16,,,
KD23102376859,,nagog-Jessica,SP-320-2 X 1; 20KGS 0.0379CBM,2023-10-09 22:23:43,2023-10-09 23:00:00,2023-10-17 23:00:00,1.00,20.00,0.0379,20.00,,客服2 ,,2023-10-09 22:24:37,,,
KD23102376858,,nagog-Jessica,SP-320-2 X 1; 20KGS 0.0379CBM,2023-10-09 22:21:08,2023-10-09 23:00:00,2023-10-17 23:00:00,1.00,20.00,0.0379,20.00,,客服2 ,,2023-10-09 22:22:10,,,
KD23102376857,,nagog-Jessica,SP-75-1 X 1; 14KGS 0.0603CBM,2023-10-09 22:18:58,2023-10-09 23:00:00,2023-10-17 23:00:00,1.00,14.00,0.0603,14.00,,客服2 ,,2023-10-09 22:20:19,,,
KD23102376856,,nagog-Jessica,SP-75-1 X 1; 14KGS 0.0603CBM,2023-10-09 22:17:24,2023-10-09 23:00:00,2023-10-17 23:00:00,1.00,14.00,0.0603,14.00,,客服2 ,,2023-10-09 22:18:02,,,
KD23102376852,,nagog-Jessica,SP-75-1 X 1; 14KGS 0.0603CBM,2023-10-09 22:12:06,2023-10-09 23:00:00,2023-10-17 23:00:00,1.00,14.00,0.0603,14.00,,客服2 ,,2023-10-09 22:15:00,,,
KD23102376775,,nagog-Jessica,SP-75-1 X 1; 14KGS 0.0603CBM,2023-10-09 22:07:59,2023-10-09 23:00:00,2023-10-17 23:00:00,1.00,14.00,0.0603,14.00,,客服2 ,,2023-10-09 22:14:20,,,
KD23102376774,,Kevin Dowd,EU003RD-WW X 1; 6.5KGS 0.0359CBM,2023-10-09 22:04:24,2023-10-09 23:00:00,2023-10-17 23:00:00,1.00,6.50,0.0359,6.50,,客服2 ,,2023-10-09 22:05:47,,,
KD23102376773,,Kevin Dowd,EU003RD-WW X 1; 6.5KGS 0.0359CBM,2023-10-09 22:02:22,2023-10-09 23:00:00,2023-10-17 23:00:00,1.00,6.50,0.0359,6.50,,客服2 ,,2023-10-09 22:03:07,,,
KD23102376772,,Mary McBride,043BG X 1; 4.5KGS 0.0196CBM,2023-10-09 21:59:51,2023-10-09 23:00:00,2023-10-13 23:00:00,1.00,4.50,0.0196,4.50,,客服2 ,,2023-10-09 22:00:43,,,
KD23102376771,,Karla Lahrmann,LED044DG X 1; 5KGS 0.0198CBM,2023-10-09 21:57:55,2023-10-09 23:00:00,2023-10-13 23:00:00,1.00,5.00,0.0198,5.00,,客服2 ,,2023-10-09 21:58:34,,,
KD23102376770,,Beth Moon,052YW X 1; 4.5KGS 0.0196CBM,2023-10-09 21:56:06,2023-10-09 23:00:00,2023-10-17 23:00:00,1.00,4.50,0.0196,4.50,,客服2 ,,2023-10-09 21:56:53,,,
KD23102376677,WNT485,XXXXX,6436FFM236MUS X 1; 7.600KGS 0.113400CBM,2023-10-09 14:32:48,2023-10-09 23:00:00,2023-10-15 23:00:00,1.00,7.60,0.1134,18.90, 脚垫,客服2 ,,2023-10-09 15:30:49,,USD45.00,
KD23102376676,WNT485,Lonni Paul Design,E-F-A-01 X 1; 0.46KGS 0.0004CBM,2023-10-09 14:10:32,2023-10-08 23:00:00,2023-10-10 23:00:00,1.00,0.46,4.0E-4,0.46, 布套样信封,Jack ,,2023-10-09 14:23:37,,USD100.00,
KD23102376674,WNT485,XXXXX,7360FFM0033US X 1; 16.000KGS 0.140000CBM,2023-10-09 13:46:15,2023-10-09 23:00:00,2023-10-15 23:00:00,1.00,16.00,0.14,23.333, 脚垫,客服2 ,,2023-10-09 15:30:51,,,
KD23102376673,WNT485,XXXXX,2705FFM045XUS X 1; 5.100KGS 0.084000CBM,2023-10-09 13:31:02,2023-10-09 23:00:00,2023-10-12 23:00:00,1.00,5.10,0.084,14.00, 脚垫,客服2 ,,2023-10-09 15:30:50,,USD45.00,
